SPECIES;NAME;LAT;LONG;MAX_AGE;MIN_AGE;MIS;PERIOD;EARLY_INTERVALL;LATE_INTERVALL;COUNTRY;STATE;REFERENCE;NOTIZ
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.04176;0.03982;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.04444;0.04198;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;0.0445;0.0425;3;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Arylakh Lake;74.42;107.58;NA;0.04921;;;;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Asolo;45.783084;11.914002;0.031;0.016;03. Feb;NA;Late Pleistocene;;Italy;;"Mussi, Margherita; Villa, Paola (2008): Single carcass of Mammuthus primigenius with lithic artifacts in the Upper Pleistocene of northern Italy. In: Journal of Archaeological Science 35 (9), S. 2606–2613. DOI: 10.1016/j.jas.2008.04.014.";
Mammuthus primigenius;Au;47.316696;9.985064;NA;0.043346;;NA;Late Pleistocene;;Austria;;"Spötl, Christoph; Reimer, Paula J.; Göhlich, Ursula B. (2018): Mammoths inside the Alps during the last glacial period: Radiocarbon constraints from Austria and palaeoenvironmental implications. In: Quaternary Science Reviews 190, S. 11–19. DOI: 10.1016/j.quascirev.2018.04.020.";
Mammuthus primigenius;Ayon Island;69.5865;168.724667;0.02572;0.016996;2;K;Late Pleistocene;;Russia;;"Vartanyan, Sergey L. (2013): Validation of Radiocarbon Dates of Woolly Mammoth Remains from Northwestern Chukotka, Russia. In: Radiocarbon 55 (1), S. 179–184. DOI: 10.2458/azu_js_rc.v55i1.16465.       Chang, Dan; Knapp, Michael; Enk, Jacob; Lippold, Sebastian; Kircher, Martin; Lister, Adrian et al. (2017): The evolutionary and phylogeographic history of woolly mammoths: a comprehensive mitogenomic analysis. In: Scientific reports 7, S. 44585. DOI: 10.1038/srep44585.";
Mammuthus primigenius;Ayon Island;69.78;168;0.01308;0.01282;1;W;Late Pleistocene;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
Mammuthus primigenius;Bäck, Rättvik, Dalarna;60.847201;15.115919;0.03135;0.03075;3;W;Late Pleistocene;;Sweden;;"Ukkonen, P.; Arppe, L.; Houmark-Nielsen, M.; Kjær, K. H.; Karhu, J. A. (2007): MIS 3 mammoth remains from Sweden—implications for faunal history, palaeoclimate and glaciation chronology. In: Quaternary Science Reviews 26 (25-28), S. 3081–3098. DOI: 10.1016/j.quascirev.2007.06.021.";
Mammuthus primigenius;Baikura-Neru Bay, Taymyr Lake;74.05;93.1;NA;0.0495;;;;;Russia;;"Kuzmin, Yaroslav V.; Orlova, Lyobov A. (2004): Radiocarbon chronology and environment of woolly mammoth (Mammuthus primigenius Blum.) in northern Asia: results and perspectives. In: Earth-Science Reviews 68 (1-2), S. 133–169. DOI: 10.1016/j.earscirev.2004.04.002.";
